"Domain"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SubSpecie"	"Specie"	"taxRank"	"taxID"	"Max"	"A54.cladeReads"	"A55.cladeReads"	"A56.cladeReads"	"A57.cladeReads"	"A58.cladeReads"	"A59.cladeReads"	"A60.cladeReads"	"A61.cladeReads"	"A62.cladeReads"	"A63.cladeReads"
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium breve"	"S"	1685	361790	3436	3873	276413	3200	1909	168894	24644	2515	361788	37502
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium pseudocatenulatum"	"S"	28026	104090	2458	2690	101222	17940	8709	51555	65141	4327	27288	104087
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium angulatum"	"S"	1683	106980	1574	981	10870	1202	992	3459	8189	106977	7100	22775
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium animalis"	"S"	28025	44888	2358	2239	5325	468	1693	897	5625	2539	44888	2130
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium dentium"	"S"	1689	4433	611	355	3909	599	266	1958	2468	813	2515	4433
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium scardovii"	"S"	158787	1256	497	436	1133	156	332	896	667	278	1179	1256
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium thermophilum"	"S"	33905	953	423	313	810	121	308	383	953	466	391	940
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium choerinum"	"S"	35760	642	427	263	325	93	521	130	379	401	305	642
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium pseudolongum"	"S"	1694	2716	304	499	902	167	208	480	2716	351	1504	1315
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium asteroides"	"S"	1684	258	258	203	147	27	119	187	60	169	135	110
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium actinocoloniiforme"	"S"	638619	196	123	196	83	12	117	88	142	160	69	160
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium indicum"	"S"	1691	473	30	206	2	2	97	25	30	473	62	13
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"Bifidobacterium coryneforme"	"S"	1687	141	14	12	111	4	17	76	21	17	141	115
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	NA	NA	"Parascardovia"	"G"	196082	290	181	290	12	40	88	27	48	116	38	124
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Parascardovia"	NA	"Parascardovia denticolens"	"S"	78258	290	181	290	12	40	88	27	48	116	38	124
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	NA	NA	"Gardnerella"	"G"	2701	473	128	473	11	61	77	22	83	114	28	118
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"	NA	"Gardnerella vaginalis"	"S"	2702	473	128	473	11	61	77	22	83	114	28	118
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	NA	NA	"Scardovia"	"G"	196081	130	40	71	53	13	117	81	130	40	5	7
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Scardovia"	NA	"Scardovia inopinata"	"S"	78259	130	40	71	53	13	117	81	130	40	5	7
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	NA	NA	NA	NA	"Micrococcales"	"O"	85006	23740	19029	18705	5552	14067	11622	11245	14014	19424	21288	23740
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	NA	NA	NA	"Microbacteriaceae"	"F"	85023	8705	7479	6947	2596	3411	3959	4081	4276	7463	8705	5971
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Microbacterium"	"G"	33882	2746	2746	2177	845	853	1587	1298	1725	2306	2040	807
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. XT11"	"S"	367477	479	479	122	12	44	181	259	8	83	81	87
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. No. 7"	"S"	1714373	397	340	312	93	9	62	137	59	397	131	42
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. BH-3-3-3"	"S"	1906742	678	277	153	115	80	367	123	678	391	456	160
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium foliorum"	"S"	104336	277	226	210	82	18	193	23	38	277	82	22
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. LKL04"	"S"	912630	290	186	173	290	50	42	35	13	76	53	165
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. PM5"	"S"	2014534	460	131	87	7	46	134	18	460	172	172	7
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium aurum"	"S"	36805	209	128	100	NA	209	36	107	131	55	30	9
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium chocolatum"	"S"	84292	101	101	87	25	8	27	29	38	33	67	11
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium pygmaeum"	"S"	370764	105	79	70	1	64	105	62	11	61	12	7
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium testaceum"	"S"	2033	68	68	58	38	15	21	21	8	68	35	35
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. PAMC 28756"	"S"	1795053	164	164	91	44	93	53	71	47	60	38	14
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. TPU 3598"	"S"	1938334	562	52	133	6	3	17	13	25	42	562	5
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium hominis"	"S"	162426	128	49	85	5	21	25	42	13	128	38	16
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium paludicola"	"S"	300019	238	37	117	21	54	35	26	89	53	238	18
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. str. 'China'"	"S"	2103230	382	242	82	41	80	153	41	55	382	23	112
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium paraoxydans"	"S"	199592	265	142	265	NA	30	54	59	11	6	NA	29
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. 1.5R"	"S"	1916917	58	17	17	58	13	19	NA	4	6	NA	36
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	"Microbacterium sp. CGR1"	"S"	1696072	225	18	7	NA	9	54	225	27	6	13	24
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Leifsonia"	"G"	110932	656	656	582	236	39	312	159	200	500	265	291
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leifsonia"	NA	"Leifsonia xyli"	"S"	1575	326	321	326	127	33	250	130	191	307	253	264
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leifsonia"	NA	"Leifsonia sp. 21MFCrub1.1"	"S"	1798223	334	334	255	108	6	61	28	8	193	12	26
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Microterricola"	"G"	518733	507	507	338	9	59	152	72	38	209	245	31
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microterricola"	NA	"Microterricola viridarii"	"S"	412690	507	507	338	9	59	152	72	38	209	245	31
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Aurantimicrobium"	"G"	1705353	1606	457	340	661	1606	304	901	701	339	1419	1470
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Aurantimicrobium"	NA	"Aurantimicrobium sp. MWH-Uga1"	"S"	2079575	1557	409	219	611	1557	262	862	659	234	1393	1419
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Aurantimicrobium"	NA	"Aurantimicrobium minutum"	"S"	708131	49	34	22	49	25	13	36	41	22	24	7
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Aurantimicrobium"	NA	"Aurantimicrobium sp. MWH-Mo1"	"S"	1987356	98	13	98	1	23	28	3	1	82	1	43
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Curtobacterium"	"G"	2034	1851	448	462	419	221	310	809	939	371	1386	1851
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Curtobacterium"	NA	"Curtobacterium sp. MR_MD2014"	"S"	1561023	819	267	146	392	187	80	723	238	136	587	819
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Curtobacterium"	NA	"Curtobacterium pusillum"	"S"	69373	987	101	200	13	17	103	82	558	175	794	987
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Curtobacterium"	NA	"Curtobacterium sp. BH-2-1-1"	"S"	1905847	143	78	116	14	16	126	3	143	60	4	44
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Agrococcus"	"G"	46352	862	312	426	9	31	83	55	24	862	666	19
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agrococcus"	NA	"Agrococcus carbonis"	"S"	684552	754	224	292	5	25	44	27	8	754	177	5
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agrococcus"	NA	"Agrococcus jejuensis"	"S"	399736	489	87	134	3	6	38	27	15	108	489	14
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Cryobacterium"	"G"	69578	757	278	394	29	56	303	136	93	327	693	757
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Cryobacterium"	NA	"Cryobacterium arcticum"	"S"	670052	142	142	88	6	12	50	78	36	127	22	38
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Cryobacterium"	NA	"Cryobacterium sp. GCJ02"	"S"	2220095	646	92	116	14	35	166	26	45	130	591	646
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Cryobacterium"	NA	"Cryobacterium sp. LW097"	"S"	1978566	189	43	189	9	8	85	31	11	69	78	73
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Clavibacter"	"G"	1573	1091	269	285	58	134	211	78	116	577	1091	228
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Clavibacter"	NA	"Clavibacter michiganensis"	"S"	28447	1091	269	285	58	134	211	78	116	577	1091	228
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Agromyces"	"G"	33877	432	252	432	49	53	168	84	149	304	129	50
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agromyces"	NA	"Agromyces sp. 30A"	"S"	2080742	290	156	290	5	24	92	16	48	184	22	15
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agromyces"	NA	"Agromyces flavus"	"S"	589382	89	49	82	35	18	48	53	89	60	26	24
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agromyces"	NA	"Agromyces aureus"	"S"	453304	80	46	59	7	11	27	14	11	59	80	10
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Rathayibacter"	"G"	33886	232	217	232	10	12	69	28	7	139	94	8
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rathayibacter"	NA	"Rathayibacter tritici"	"S"	33888	159	143	159	3	2	65	24	6	132	64	6
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rathayibacter"	NA	"Rathayibacter toxicus"	"S"	145458	73	73	73	7	10	4	4	1	7	30	2
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Frondihabitans"	"G"	447237	319	202	225	14	25	120	59	36	138	163	319
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Frondihabitans"	NA	"Frondihabitans sp. PAMC 28766"	"S"	1795630	306	133	158	14	13	87	36	22	93	42	306
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Frondihabitans"	NA	"Frondihabitans sp. 762G35"	"S"	1446794	121	69	67	NA	11	32	22	13	44	121	13
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Luna cluster"	"-"	1655488	289	197	289	91	24	75	16	14	165	15	8
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Luna cluster"	NA	"Luna-1 subcluster"	"-"	1655489	289	197	289	91	24	75	16	14	165	15	8
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Luna cluster"	"Luna-1 subcluster"	"Rhodoluna"	"G"	529883	245	185	245	88	4	41	16	11	158	15	5
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Luna cluster"	"Luna-1 subcluster"	"Rhodoluna lacicola"	"S"	529884	129	129	105	1	3	29	15	6	72	15	1
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Luna cluster"	"Luna-1 subcluster"	"Candidatus Rhodoluna planktonica"	"S"	535712	139	56	139	87	1	11	1	5	85	NA	3
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Luna cluster"	"Luna-1 subcluster"	"Candidatus Aquiluna"	"G"	529881	44	11	44	3	20	33	NA	3	7	NA	3
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Luna cluster"	"Luna-1 subcluster"	"Candidatus Aquiluna sp. UB-MaderosW2red"	"S"	1855377	44	11	44	3	20	33	NA	3	7	NA	3
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Salinibacterium"	"G"	235888	150	139	89	3	38	18	9	27	124	150	9
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	NA	"Salinibacterium sp. CGMCC 1.16371"	"S"	2079791	150	139	89	3	38	18	9	27	124	150	9
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Pontimonas"	"G"	1434032	130	130	33	NA	NA	6	NA	6	11	2	1
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Pontimonas"	NA	"Pontimonas salivibrio"	"S"	1159327	130	130	33	NA	NA	6	NA	6	11	2	1
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Microcella"	"G"	337004	155	96	88	15	4	31	103	27	155	152	19
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microcella"	NA	"Microcella alkaliphila"	"S"	279828	155	96	88	15	4	31	103	27	155	152	19
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Humibacter"	"G"	427753	303	303	65	44	NA	48	4	NA	86	109	7
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Humibacter"	NA	"Humibacter sp. BT305"	"S"	2282656	303	303	65	44	NA	48	4	NA	86	109	7
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Cnuibacter"	"G"	1759331	203	174	203	4	169	37	188	54	195	17	9
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Cnuibacter"	NA	"Cnuibacter physcomitrellae"	"S"	1619308	203	174	203	4	169	37	188	54	195	17	9
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Plantibacter"	"G"	190323	603	50	231	12	7	96	47	10	603	12	28
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Plantibacter"	NA	"Plantibacter flavus"	"S"	150123	603	50	231	12	7	96	47	10	603	12	28
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	NA	"Mycetocola"	"G"	76634	103	37	47	80	73	23	27	103	44	48	50
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Mycetocola"	NA	"Mycetocola sp. CGMCC 1.16372"	"S"	2079792	103	37	47	80	73	23	27	103	44	48	50
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	NA	NA	NA	"Micrococcaceae"	"F"	1268	16123	5071	5576	1732	8814	4190	5024	7452	4958	8053	16123
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	NA	NA	"Arthrobacter"	"G"	1663	2030	1630	1952	545	525	1638	1168	1182	1668	2030	521
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter alpinus"	"S"	656366	685	582	399	224	133	629	685	432	226	441	85
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. ERGS1:01"	"S"	1704044	271	152	189	6	12	170	27	271	66	119	18
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. DCT5"	"S"	2211210	205	127	205	3	73	56	34	63	131	100	7
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. YN"	"S"	2020486	179	123	77	4	10	62	6	179	62	7	32
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. U41"	"S"	1849032	147	107	100	22	8	89	24	29	60	147	26
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. YC-RL1"	"S"	1652545	343	89	125	11	35	61	32	6	343	39	5
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter crystallopoietes"	"S"	37928	109	85	93	24	109	30	65	37	92	77	49
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. PGP41"	"S"	2079227	141	74	57	15	72	44	10	10	102	52	141
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. QXT-31"	"S"	1357915	168	69	168	5	12	127	112	10	83	35	9
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. FB24"	"S"	290399	136	65	131	11	14	136	96	9	87	44	13
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. PAMC 25486"	"S"	1494608	164	48	93	164	18	106	19	98	109	136	72
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. ZXY-2"	"S"	1806905	827	43	115	50	NA	40	NA	3	211	827	40
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. Rue61a"	"S"	1118963	65	28	44	NA	6	49	52	NA	65	NA	19
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	"Arthrobacter sp. ATCC 21022"	"S"	1771959	150	31	150	NA	18	32	NA	30	25	NA	NA
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	NA	NA	"Rothia"	"G"	32207	13820	877	754	704	6565	946	2401	5291	693	3806	13820
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"	NA	"Rothia mucilaginosa"	"S"	43675	13670	804	712	668	6464	919	2361	4825	641	3762	13670
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"	NA	"Rothia dentocariosa"	"S"	2047	465	72	42	36	100	26	39	465	52	43	150
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	NA	NA	"Pseudarthrobacter"	"G"	1742993	703	508	703	80	116	251	280	235	562	217	156
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Pseudarthrobacter"	NA	"Pseudarthrobacter phenanthrenivorans"	"S"	361575	247	247	215	12	13	87	180	13	170	24	70
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Pseudarthrobacter"	NA	"Pseudarthrobacter sulfonivorans"	"S"	121292	274	180	274	5	17	116	9	201	143	75	30
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Pseudarthrobacter"	NA	"Pseudarthrobacter chlorophenolicus"	"S"	85085	134	52	134	1	6	26	72	9	99	80	2
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Pseudarthrobacter"	NA	"Pseudarthrobacter equi"	"S"	728066	149	28	79	60	78	20	18	10	149	37	52
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	NA	NA	"Glutamicibacter"	"G"	1742989	381	381	180	21	283	172	220	115	146	33	175
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	NA	"Glutamicibacter arilaitensis"	"S"	256701	381	381	180	21	283	172	220	115	146	33	175
"cellular organisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	NA	NA	"Kocuria"	"G"	57493	574	375	555	158	103	269	151	124	574	414	142
